City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,flying fish cove,-10.4217,105.6791,27.82,69,75,6.17,CX,1722228974
1,zemio,5.0314,25.1361,21.19,96,98,0.59,CF,1722228976
2,letlhakane,-21.4167,25.5833,8.04,33,0,4.65,BW,1722228977
3,longyearbyen,78.2186,15.6401,8.91,93,100,4.63,SJ,1722228978
4,bilibino,68.0546,166.4372,10.66,75,97,2.22,RU,1722228646
5,tura,25.5198,90.2201,30.99,70,100,2.45,IN,1722228980
6,tayoltita,24.0833,-105.9333,23.3,91,53,2.04,MX,1722228981
7,weno,7.4515,151.8468,28.9,74,68,3.29,FM,1722228983
8,itaituba,-4.2761,-55.9836,25.48,53,88,0.92,BR,1722228613
9,vilyuchinsk,52.9306,158.4028,12.15,89,100,1.5,RU,1722228985
10,ola,59.5833,151.2833,15.21,65,1,4.81,RU,1722228986
11,waitangi,-43.9535,-176.5597,11.57,94,99,1.34,NZ,1722228576
12,kavaratti,10.5669,72.642,28.39,83,100,10.49,IN,1722228989
13,el soberbio,-27.2985,-54.1988,17.95,100,99,0.51,AR,1722228808
14,el quebrachal,-25.2833,-64.0667,17.25,41,87,4.78,AR,1722228991
15,chu,43.5983,73.7614,35.39,16,5,3.43,KZ,1722228992
16,grytviken,-54.2811,-36.5092,-1.13,80,59,4.55,GS,1722228640
17,west island,-12.1568,96.8225,27.99,69,40,9.26,CC,1722228595
18,mombetsu,44.3525,143.3525,24.01,83,75,2.06,JP,1722228996
19,suncho corral,-27.9336,-63.4294,14.13,37,77,7.29,AR,1722228997
20,shache,38.4167,77.2406,37.83,11,4,1.46,CN,1722228998
21,howard springs,-12.497,131.047,30.95,32,17,6.51,AU,1722228999
22,east london,-33.0153,27.9116,10.52,50,0,6.17,ZA,1722228918
23,siwa oasis,29.2041,25.5195,28.08,54,0,2.29,EG,1722228698
24,ust-tsilma,65.441,52.1498,18.72,73,100,1.98,RU,1722229003
25,amahai,-3.3333,128.9167,26.66,83,52,4.93,ID,1722229004
26,rio grande,-32.035,-52.0986,10.53,72,100,8.18,BR,1722229005
27,port alfred,-33.5906,26.891,8.99,69,54,1.79,ZA,1722228573
28,edinburgh of the seven seas,-37.0676,-12.3116,14.08,94,72,4.54,SH,1722228604
29,arraial do cabo,-22.9661,-42.0278,22.02,92,0,8.25,BR,1722228978
30,adamstown,-25.066,-130.1015,21.07,74,100,5.5,PN,1722228586
31,guerrero negro,27.9769,-114.0611,19.58,84,9,5.92,MX,1722228604
32,talnakh,69.4865,88.3972,26.54,37,37,1.87,RU,1722228694
33,kara suu,40.7046,72.8667,30.98,39,0,3.0,KG,1722229013
34,sitka,57.0531,-135.33,15.94,72,40,2.57,US,1722228716
35,kingston,17.997,-76.7936,29.53,74,20,1.54,JM,1722228757
36,wailua homesteads,22.0669,-159.378,25.44,77,100,6.69,US,1722228628
37,port-aux-francais,-49.35,70.2167,-0.15,76,100,13.99,TF,1722228579
38,kota belud,6.351,116.4305,30.49,66,64,3.11,MY,1722228946
39,uturoa,-16.7333,-151.4333,26.47,85,3,6.82,PF,1722228602
40,blackmans bay,-43.0167,147.3167,9.07,62,5,0.45,AU,1722228731
41,olhao,37.0286,-7.8411,26.27,79,20,4.12,PT,1722229023
42,nar'yan-mar,67.6713,53.087,19.18,67,99,4.98,RU,1722228619
43,puerto natales,-51.7236,-72.4875,0.08,88,95,3.32,CL,1722229025
44,port augusta,-32.5,137.7667,15.43,35,96,4.26,AU,1722229026
45,waveland,30.2869,-89.3762,30.03,85,98,2.66,US,1722229027
46,whakatane,-37.9585,176.9854,14.17,94,100,1.34,NZ,1722229029
47,albany,42.6001,-73.9662,20.96,89,95,0.86,US,1722228317
48,konarka,19.9,86.1167,30.22,94,100,2.68,IN,1722229031
49,ts'khinvali,42.2276,43.9686,17.7,76,41,0.73,GE,1722229032
50,vorgashor,67.5833,63.95,21.05,61,84,5.39,RU,1722229033
51,raub,3.7899,101.857,33.17,63,97,1.25,MY,1722229034
52,revda,56.801,59.9303,10.64,98,100,3.34,RU,1722229036
53,ebon,4.582,168.6964,28.82,68,72,2.48,MH,1722229037
54,mpanda,-6.3655,31.0409,17.74,29,0,0.33,TZ,1722229038
55,port elizabeth,-33.918,25.5701,9.62,66,0,6.69,ZA,1722228583
56,sao joao da barra,-21.6403,-41.0511,21.99,88,0,6.37,BR,1722228598
57,margaret river,-33.95,115.0667,15.7,77,99,7.91,AU,1722228678
58,darlowo,54.421,16.4107,17.1,82,1,9.26,PL,1722229043
59,aasiaat,68.7098,-52.8699,2.45,98,100,5.43,GL,1722228720
60,tamanrasset,22.785,5.5228,29.95,28,40,1.54,DZ,1722229045
61,orkney,-26.9802,26.6727,-0.73,67,0,1.91,ZA,1722229046
62,bethel,41.3712,-73.414,21.46,81,75,0.45,US,1722228573
63,nicoya,10.1483,-85.452,23.4,96,93,0.99,CR,1722229048
64,olonkinbyen,70.9221,-8.7187,4.9,99,100,8.31,SJ,1722228670
65,gudauta,43.1055,40.6207,24.38,62,0,5.19,GE,1722229051
66,minot,48.2325,-101.2963,20.12,73,0,2.06,US,1722228874
67,khorugh,37.4897,71.553,22.96,28,0,0.19,TJ,1722229053
68,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,76,75,4.0,RU,1722228286
